timestamp	health	plans	alerts	apiPid
2026-03-23 16:59:28.812	200	200	200	63160
2026-03-23 16:59:29.493	200	200	200	63160
2026-03-23 16:59:30.073	200	200	200	63160
2026-03-23 16:59:30.650	200	200	200	63160
2026-03-23 16:59:31.276	200	200	200	63160
2026-03-23 16:59:31.883	200	200	200	63160
2026-03-23 16:59:32.556	200	200	200	63160
2026-03-23 16:59:33.166	200	200	200	63160
2026-03-23 16:59:33.928	200	200	200	63160
2026-03-23 16:59:34.516	200	200	200	63160
2026-03-23 16:59:35.111	200	200	200	63160
2026-03-23 16:59:35.715	200	200	200	63160
2026-03-23 16:59:36.339	200	200	200	63160
2026-03-23 16:59:36.929	200	200	200	63160
2026-03-23 16:59:37.505	200	200	200	63160
2026-03-23 16:59:38.085	200	200	200	63160
2026-03-23 16:59:38.656	200	200	200	63160
2026-03-23 16:59:39.247	200	200	200	63160
2026-03-23 16:59:39.839	200	200	200	63160
2026-03-23 16:59:40.415	200	200	200	63160
2026-03-23 16:59:40.990	200	200	200	63160
2026-03-23 16:59:41.615	200	200	200	63160
2026-03-23 16:59:42.220	200	200	200	63160
2026-03-23 16:59:42.813	200	200	200	63160
2026-03-23 16:59:43.421	200	200	200	63160
2026-03-23 16:59:44.012	200	200	200	63160
2026-03-23 16:59:44.650	200	200	200	63160
2026-03-23 16:59:45.226	200	200	200	63160
2026-03-23 16:59:45.816	200	200	200	63160
2026-03-23 16:59:46.388	200	200	200	63160
2026-03-23 16:59:46.976	200	200	200	63160
2026-03-23 16:59:47.552	200	200	200	63160
2026-03-23 16:59:48.133	200	200	200	63160
2026-03-23 16:59:48.822	200	200	200	63160
2026-03-23 16:59:49.414	ERR	ERR	ERR	
2026-03-23 16:59:56.041	ERR	ERR	ERR	
2026-03-23 17:00:02.602	ERR	ERR	ERR	
2026-03-23 17:00:09.152	ERR	ERR	ERR	
2026-03-23 17:00:15.802	ERR	ERR	ERR	
2026-03-23 17:00:22.437	ERR	ERR	ERR	
2026-03-23 17:00:29.024	ERR	ERR	ERR	20040
2026-03-23 17:00:35.612	200	200	200	20040
2026-03-23 17:00:37.664	200	200	200	20040
2026-03-23 17:00:38.377	200	200	200	20040
2026-03-23 17:00:38.964	200	200	200	20040
2026-03-23 17:00:39.558	200	200	200	20040
2026-03-23 17:00:40.178	200	200	200	20040
2026-03-23 17:00:41.688	200	200	200	20040
2026-03-23 17:00:42.463	200	200	200	20040
2026-03-23 17:00:44.006	200	200	200	20040
2026-03-23 17:00:44.596	200	200	200	20040
2026-03-23 17:00:45.211	200	200	200	20040
2026-03-23 17:00:46.334	200	200	200	20040
2026-03-23 17:00:46.927	200	200	200	20040
2026-03-23 17:00:47.516	200	200	200	20040
2026-03-23 17:00:48.095	200	200	200	20040
2026-03-23 17:00:48.698	200	200	200	20040
2026-03-23 17:00:49.302	200	200	200	20040
2026-03-23 17:00:49.909	200	200	200	20040
2026-03-23 17:00:50.564	200	200	200	20040
2026-03-23 17:00:51.142	200	200	200	20040
2026-03-23 17:00:51.748	200	200	200	20040
2026-03-23 17:00:52.337	200	200	200	20040
2026-03-23 17:00:52.928	200	200	200	20040
2026-03-23 17:00:53.524	200	200	200	20040
2026-03-23 17:00:54.098	200	200	200	20040
2026-03-23 17:00:54.671	200	200	200	20040
2026-03-23 17:00:55.280	200	200	200	20040
2026-03-23 17:00:55.875	200	200	200	20040
2026-03-23 17:00:56.461	200	200	200	20040
2026-03-23 17:00:57.068	200	200	200	20040
2026-03-23 17:00:57.674	200	200	200	20040
2026-03-23 17:00:58.264	200	200	200	20040
2026-03-23 17:00:58.876	200	200	200	20040
2026-03-23 17:00:59.539	200	200	200	20040
2026-03-23 17:01:00.134	200	200	200	20040
2026-03-23 17:01:00.719	200	200	200	20040
2026-03-23 17:01:01.310	200	200	200	20040
2026-03-23 17:01:01.885	200	200	200	20040
2026-03-23 17:01:02.460	200	200	200	20040
